Region_code,Price,Property_type,Bedrooms_str,Year,Month_name,Day_name
2602,421000,house,Three_bedrooms,2007,December,Saturday
2906,545000,house,Four_bedrooms,2007,December,Saturday
2605,635000,house,Four_bedrooms,2007,December,Wednesday
2606,357500,house,Three_bedrooms,2007,December,Thursday
2913,400000,house,Four_bedrooms,2007,December,Thursday
2612,1105000,house,Four_bedrooms,2007,December,Thursday
2602,259000,house,Two_bedrooms,2007,December,Friday
2905,437500,house,Three_bedrooms,2007,December,Friday
2906,530000,house,Four_bedrooms,2007,December,Saturday
2602,630000,house,Three_bedrooms,2007,December,Wednesday
2905,615000,house,Four_bedrooms,2007,December,Thursday
2615,332000,house,Three_bedrooms,2007,December,Friday
2902,490000,house,Three_bedrooms,2007,December,Friday
2906,309000,house,Two_bedrooms,2008,January,Wednesday
2602,413000,house,Three_bedrooms,2008,January,Monday
2905,445000,house,Four_bedrooms,2008,January,Tuesday
2902,600000,house,Four_bedrooms,2008,January,Tuesday
2605,417500,house,Two_bedrooms,2008,January,Thursday
2913,462500,house,Four_bedrooms,2008,January,Thursday
2615,485000,house,Four_bedrooms,2008,January,Thursday
2602,580000,house,Four_bedrooms,2008,January,Friday
2601,380000,house,One_bedrooms,2008,January,Wednesday
2602,560000,house,Four_bedrooms,2008,January,Thursday
2906,575000,house,Four_bedrooms,2008,January,Thursday
2612,1035000,house,Four_bedrooms,2008,January,Thursday
2602,485000,house,Three_bedrooms,2008,January,Wednesday
2905,599000,house,Four_bedrooms,2008,February,Friday
2902,349000,house,Three_bedrooms,2008,February,Monday
2905,360000,house,Three_bedrooms,2008,February,Thursday
2614,375000,house,Three_bedrooms,2008,February,Thursday
2905,405000,house,Three_bedrooms,2008,February,Thursday
2617,395000,house,Three_bedrooms,2008,February,Friday
2906,417000,house,Three_bedrooms,2008,February,Saturday
2602,560000,house,Three_bedrooms,2008,February,Saturday
2903,650000,house,Four_bedrooms,2008,February,Saturday
2617,416000,house,Four_bedrooms,2008,February,Monday
2902,749000,house,Four_bedrooms,2008,February,Tuesday
2904,575000,house,Four_bedrooms,2008,February,Friday
2602,625000,house,Three_bedrooms,2008,February,Friday
2611,610000,house,Five_bedrooms,2008,February,Saturday
2615,445000,house,Four_bedrooms,2008,February,Tuesday
2611,655000,house,Five_bedrooms,2008,February,Thursday
2617,500000,house,Four_bedrooms,2008,February,Saturday
2602,515000,house,Two_bedrooms,2008,February,Saturday
2605,811000,house,Five_bedrooms,2008,February,Saturday
2904,590000,house,Four_bedrooms,2008,February,Wednesday
2905,645000,house,Five_bedrooms,2008,February,Wednesday
2612,730000,house,Four_bedrooms,2008,February,Wednesday
2906,342000,house,Three_bedrooms,2008,February,Friday
2617,471000,house,Four_bedrooms,2008,February,Friday
2617,488000,house,Three_bedrooms,2008,February,Friday
2611,646000,house,Four_bedrooms,2008,March,Thursday
2615,655000,house,Four_bedrooms,2008,March,Friday
2602,580000,house,Three_bedrooms,2008,March,Saturday
2615,405000,house,Three_bedrooms,2008,March,Wednesday
