Region_code,Price,Property_type,Bedrooms_str,Year,Month_name,Day_name,Price_per_bedrooms
2603,760000,house,Three_bedrooms,2007,November,Saturday,253333.0
2603,760500,house,Three_bedrooms,2007,November,Saturday,253500.0
2615,442500,house,Four_bedrooms,2007,November,Tuesday,110625.0
2902,560000,house,Four_bedrooms,2007,November,Thursday,140000.0
2904,560000,house,Four_bedrooms,2007,November,Friday,140000.0
2905,335000,house,Three_bedrooms,2007,November,Saturday,111667.0
2605,575000,house,Three_bedrooms,2007,November,Saturday,191667.0
2902,439000,house,Three_bedrooms,2007,November,Tuesday,146333.0
2912,308000,house,One_bedrooms,2007,November,Thursday,308000.0
2906,353000,house,Three_bedrooms,2007,November,Thursday,117667.0
2602,425000,house,Three_bedrooms,2007,November,Friday,141667.0
2602,825000,house,Three_bedrooms,2007,November,Friday,275000.0
2615,930000,house,Five_bedrooms,2007,December,Saturday,186000.0
2905,365000,house,Three_bedrooms,2007,December,Monday,121667.0
2906,387000,house,Three_bedrooms,2007,December,Monday,129000.0
2906,620000,house,Four_bedrooms,2007,December,Tuesday,155000.0
2600,825000,house,Three_bedrooms,2007,December,Wednesday,275000.0
2905,335000,house,Three_bedrooms,2007,December,Thursday,111667.0
2902,350000,house,Three_bedrooms,2007,December,Friday,116667.0
2602,421000,house,Three_bedrooms,2007,December,Saturday,140333.0
2906,545000,house,Four_bedrooms,2007,December,Saturday,136250.0
2605,635000,house,Four_bedrooms,2007,December,Wednesday,158750.0
2606,357500,house,Three_bedrooms,2007,December,Thursday,119167.0
2913,400000,house,Four_bedrooms,2007,December,Thursday,100000.0
2612,1105000,house,Four_bedrooms,2007,December,Thursday,276250.0
2602,259000,house,Two_bedrooms,2007,December,Friday,129500.0
2905,437500,house,Three_bedrooms,2007,December,Friday,145833.0
2906,530000,house,Four_bedrooms,2007,December,Saturday,132500.0
2602,630000,house,Three_bedrooms,2007,December,Wednesday,210000.0
2905,615000,house,Four_bedrooms,2007,December,Thursday,153750.0
2615,332000,house,Three_bedrooms,2007,December,Friday,110667.0
2902,490000,house,Three_bedrooms,2007,December,Friday,163333.0
2906,309000,house,Two_bedrooms,2008,January,Wednesday,154500.0
2602,413000,house,Three_bedrooms,2008,January,Monday,137667.0
2905,445000,house,Four_bedrooms,2008,January,Tuesday,111250.0
2902,600000,house,Four_bedrooms,2008,January,Tuesday,150000.0
2605,417500,house,Two_bedrooms,2008,January,Thursday,208750.0
2913,462500,house,Four_bedrooms,2008,January,Thursday,115625.0
2615,485000,house,Four_bedrooms,2008,January,Thursday,121250.0
2602,580000,house,Four_bedrooms,2008,January,Friday,145000.0
2601,380000,house,One_bedrooms,2008,January,Wednesday,380000.0
2602,560000,house,Four_bedrooms,2008,January,Thursday,140000.0
2906,575000,house,Four_bedrooms,2008,January,Thursday,143750.0
2612,1035000,house,Four_bedrooms,2008,January,Thursday,258750.0
2602,485000,house,Three_bedrooms,2008,January,Wednesday,161667.0
2905,599000,house,Four_bedrooms,2008,February,Friday,149750.0
2902,349000,house,Three_bedrooms,2008,February,Monday,116333.0
2905,360000,house,Three_bedrooms,2008,February,Thursday,120000.0
2614,375000,house,Three_bedrooms,2008,February,Thursday,125000.0
2905,405000,house,Three_bedrooms,2008,February,Thursday,135000.0
2617,395000,house,Three_bedrooms,2008,February,Friday,131667.0
2906,417000,house,Three_bedrooms,2008,February,Saturday,139000.0
2602,560000,house,Three_bedrooms,2008,February,Saturday,186667.0
2903,650000,house,Four_bedrooms,2008,February,Saturday,162500.0
2617,416000,house,Four_bedrooms,2008,February,Monday,104000.0
2902,749000,house,Four_bedrooms,2008,February,Tuesday,187250.0
2904,575000,house,Four_bedrooms,2008,February,Friday,143750.0
2602,625000,house,Three_bedrooms,2008,February,Friday,208333.0
2611,610000,house,Five_bedrooms,2008,February,Saturday,122000.0
2615,445000,house,Four_bedrooms,2008,February,Tuesday,111250.0
2611,655000,house,Five_bedrooms,2008,February,Thursday,131000.0
2617,500000,house,Four_bedrooms,2008,February,Saturday,125000.0
2602,515000,house,Two_bedrooms,2008,February,Saturday,257500.0
2605,811000,house,Five_bedrooms,2008,February,Saturday,162200.0
2904,590000,house,Four_bedrooms,2008,February,Wednesday,147500.0
2905,645000,house,Five_bedrooms,2008,February,Wednesday,129000.0
2612,730000,house,Four_bedrooms,2008,February,Wednesday,182500.0
2906,342000,house,Three_bedrooms,2008,February,Friday,114000.0
2617,471000,house,Four_bedrooms,2008,February,Friday,117750.0
2617,488000,house,Three_bedrooms,2008,February,Friday,162667.0
2611,646000,house,Four_bedrooms,2008,March,Thursday,161500.0
2615,655000,house,Four_bedrooms,2008,March,Friday,163750.0
2602,580000,house,Three_bedrooms,2008,March,Saturday,193333.0
2615,405000,house,Three_bedrooms,2008,March,Wednesday,135000.0
2611,695000,house,Four_bedrooms,2008,March,Thursday,173750.0
2906,420000,house,Four_bedrooms,2008,April,Wednesday,105000.0
2611,503000,house,Three_bedrooms,2008,April,Wednesday,167667.0
2906,380000,house,Three_bedrooms,2008,April,Thursday,126667.0
2906,334000,house,Three_bedrooms,2008,April,Friday,111333.0
2611,395000,house,Three_bedrooms,2008,April,Friday,131667.0
2615,467500,house,Four_bedrooms,2008,April,Friday,116875.0
2604,522500,house,Three_bedrooms,2008,April,Monday,174167.0
2913,635000,house,Five_bedrooms,2008,April,Monday,127000.0
2617,690000,house,Four_bedrooms,2008,April,Monday,172500.0
2904,780000,house,Four_bedrooms,2008,April,Monday,195000.0
2904,679000,house,Five_bedrooms,2008,April,Tuesday,135800.0
2602,467000,house,Three_bedrooms,2008,April,Friday,155667.0
2906,649000,house,Five_bedrooms,2008,April,Monday,129800.0
2902,675000,house,Four_bedrooms,2008,April,Tuesday,168750.0
2905,415000,house,Three_bedrooms,2008,April,Wednesday,138333.0
2611,445000,house,Four_bedrooms,2008,April,Wednesday,111250.0
2600,292500,house,One_bedrooms,2008,April,Thursday,292500.0
2602,450000,house,Three_bedrooms,2008,April,Thursday,150000.0
2602,680000,house,Four_bedrooms,2008,April,Tuesday,170000.0
2602,950000,house,Four_bedrooms,2008,April,Tuesday,237500.0
2602,485000,house,Three_bedrooms,2008,April,Wednesday,161667.0
2617,640000,house,Four_bedrooms,2008,May,Thursday,160000.0
2906,332000,house,Two_bedrooms,2008,May,Friday,166000.0
2906,622500,house,Four_bedrooms,2008,May,Friday,155625.0
2602,775000,house,Four_bedrooms,2008,May,Friday,193750.0
2604,575000,house,Two_bedrooms,2008,May,Monday,287500.0
2604,690000,house,Three_bedrooms,2008,May,Monday,230000.0
2611,465000,house,Three_bedrooms,2008,May,Friday,155000.0
2906,635000,house,Five_bedrooms,2008,May,Monday,127000.0
2906,307000,house,Two_bedrooms,2008,May,Tuesday,153500.0
2611,450000,house,Three_bedrooms,2008,May,Wednesday,150000.0
2902,442000,house,Three_bedrooms,2008,May,Friday,147333.0
2611,490000,house,Three_bedrooms,2008,May,Friday,163333.0
2602,865000,house,Five_bedrooms,2008,May,Saturday,173000.0
2905,430000,house,Four_bedrooms,2008,May,Monday,107500.0
2905,444000,house,Three_bedrooms,2008,May,Friday,148000.0
2607,535000,house,Three_bedrooms,2008,May,Tuesday,178333.0
2611,542000,house,Four_bedrooms,2008,May,Wednesday,135500.0
2906,357000,house,Three_bedrooms,2008,May,Friday,119000.0
2611,429000,house,Three_bedrooms,2008,June,Monday,143000.0
2603,1180000,house,Four_bedrooms,2008,June,Monday,295000.0
2615,375000,house,Four_bedrooms,2008,June,Tuesday,93750.0
2605,526000,house,Three_bedrooms,2008,June,Friday,175333.0
2601,760000,house,Three_bedrooms,2008,June,Friday,253333.0
2611,447250,house,Three_bedrooms,2008,June,Tuesday,149083.0
2602,492500,house,Three_bedrooms,2008,June,Tuesday,164167.0
